,Rank,Name,Platform,Year,Genre,Publisher,Overview
1132,1146,Super Mario Strikers,GC,2005,Sports,Nintendo,2005 Sports by Nintendo rank 1146
1133,1147,Buzz! The Music Quiz,PS2,2005,Misc,Sony Computer Entertainment,2005 Misc by Sony Computer Entertainment rank 1147
1134,1148,SpongeBob's Atlantis SquarePantis,DS,2007,Action,THQ,2007 Action by THQ rank 1148
1135,1149,Far Cry 4,XOne,2014,Shooter,Ubisoft,2014 Shooter by Ubisoft rank 1149
1136,1150,Dance Dance Revolution: Hottest Party 2,Wii,2008,Simulation,Konami Digital Entertainment,2008 Simulation by Konami Digital Entertainment rank 1150
1137,1151,Moshi Monsters: Moshling Zoo,DS,2011,Misc,Activision,2011 Misc by Activision rank 1151
1138,1152,Dollar Dash,PS2,2005,Action,Take-Two Interactive,2005 Action by Take-Two Interactive rank 1152
1139,1153,Far Cry 2,X360,2008,Action,Ubisoft,2008 Action by Ubisoft rank 1153
1140,1154,F-1 World Grand Prix,N64,1998,Racing,Video System,1998 Racing by Video System rank 1154
1141,1155,River Raid,2600,1981,Shooter,Activision,1981 Shooter by Activision rank 1155
1142,1156,Silent Hill,PS,1999,Action,Konami Digital Entertainment,1999 Action by Konami Digital Entertainment rank 1156
1143,1157,Dragon Quest V: Hand of the Heavenly Bride,DS,2008,Role-Playing,Square Enix,2008 Role-Playing by Square Enix rank 1157
1144,1158,No Man's Sky,PS4,2016,Action,Hello Games,2016 Action by Hello Games rank 1158
1145,1159,Sonic Heroes,GC,2003,Platform,Sega,2003 Platform by Sega rank 1159
1146,1160,ESPN NBA 2K5,PS2,2004,Sports,Global Star,2004 Sports by Global Star rank 1160
1147,1161,Diablo,PC,1996,Role-Playing,Activision,1996 Role-Playing by Activision rank 1161
1148,1162,The Legend of Zelda: Twilight Princess,GC,2006,Action,Nintendo,2006 Action by Nintendo rank 1162
1149,1163,Soul Edge,PS,1996,Fighting,Sony Computer Entertainment,1996 Fighting by Sony Computer Entertainment rank 1163
1150,1164,Devil May Cry 4,PS3,2008,Action,Capcom,2008 Action by Capcom rank 1164
1151,1165,Mario Bros.,2600,1982,Platform,Atari,1982 Platform by Atari rank 1165
1152,1166,Pro Evolution Soccer 2008,PS3,2007,Sports,Konami Digital Entertainment,2007 Sports by Konami Digital Entertainment rank 1166
1153,1167,SoulCalibur IV,X360,2008,Fighting,Ubisoft,2008 Fighting by Ubisoft rank 1167
1154,1168,LEGO Harry Potter: Years 1-4,X360,2010,Action,Warner Bros. Interactive Entertainment,2010 Action by Warner Bros. Interactive Entertainment rank 1168
1155,1169,NASCAR 2000,PS,1999,Racing,Electronic Arts,1999 Racing by Electronic Arts rank 1169
1156,1170,Wolfenstein: The New Order,PS4,2014,Shooter,Bethesda Softworks,2014 Shooter by Bethesda Softworks rank 1170
1157,1171,Carnival Games: Mini Golf,Wii,2008,Sports,Take-Two Interactive,2008 Sports by Take-Two Interactive rank 1171
1158,1172,Guitar Hero: On Tour Decades,DS,2008,Misc,Activision,2008 Misc by Activision rank 1172
1159,1173,MySims Kingdom,DS,2008,Simulation,Electronic Arts,2008 Simulation by Electronic Arts rank 1173
1160,1174,Jampack Summer 2K,PS,2000,Misc,Sony Computer Entertainment,2000 Misc by Sony Computer Entertainment rank 1174
1161,1175,Need for Speed: Most Wanted,X360,2012,Racing,Electronic Arts,2012 Racing by Electronic Arts rank 1175
1162,1176,Guitar Hero 5,Wii,2009,Misc,Activision,2009 Misc by Activision rank 1176
1163,1177,High School Musical 3: Senior Year,DS,2008,Misc,Disney Interactive Studios,2008 Misc by Disney Interactive Studios rank 1177
1164,1178,Kingdom Hearts 3D: Dream Drop Distance,3DS,2012,Action,Square Enix,2012 Action by Square Enix rank 1178
1165,1179,Hannah Montana: Music Jam,DS,2007,Action,Disney Interactive Studios,2007 Action by Disney Interactive Studios rank 1179
1166,1180,Pokemon Mystery Dungeon: Explorers of Sky,DS,2009,Role-Playing,Nintendo,2009 Role-Playing by Nintendo rank 1180
1167,1181,Spyro 2: Season of Flame,GBA,2002,Platform,Vivendi Games,2002 Platform by Vivendi Games rank 1181
1168,1182,Pro Evolution Soccer 2010,PS2,2009,Sports,Konami Digital Entertainment,2009 Sports by Konami Digital Entertainment rank 1182
1169,1183,NCAA Football 2002,PS2,2001,Sports,Electronic Arts,2001 Sports by Electronic Arts rank 1183
1170,1184,Conflict: Desert Storm,PS2,2002,Shooter,Gotham Games,2002 Shooter by Gotham Games rank 1184
1171,1185,Mario Party 7,GC,2005,Misc,Nintendo,2005 Misc by Nintendo rank 1185
1172,1186,Pro Evolution Soccer 2013,PS3,2012,Sports,Konami Digital Entertainment,2012 Sports by Konami Digital Entertainment rank 1186
1173,1187,Smuggler's Run,PS2,2000,Racing,Take-Two Interactive,2000 Racing by Take-Two Interactive rank 1187
1174,1188,Fight Night Round 3,PS2,2006,Fighting,Electronic Arts,2006 Fighting by Electronic Arts rank 1188
1175,1189,Donkey Kong Classics,NES,1988,Platform,Nintendo,1988 Platform by Nintendo rank 1189
1176,1190,Twisted Metal,PS,1995,Action,Sony Computer Entertainment,1995 Action by Sony Computer Entertainment rank 1190
1177,1191,Dark Souls III,PS4,2016,Role-Playing,Namco Bandai Games,2016 Role-Playing by Namco Bandai Games rank 1191
1178,1192,Final Fight,SNES,1990,Action,Capcom,1990 Action by Capcom rank 1192
1179,1193,Dragon Quest Monsters 2,GB,2001,Role-Playing,Enix Corporation,2001 Role-Playing by Enix Corporation rank 1193
1180,1194,Pokemon Pinball: Ruby & Sapphire,GBA,2003,Misc,Nintendo,2003 Misc by Nintendo rank 1194
1181,1195,LEGO Marvel Super Heroes,PS4,2013,Action,Warner Bros. Interactive Entertainment,2013 Action by Warner Bros. Interactive Entertainment rank 1195
1182,1196,Mafia II,X360,2010,Action,Take-Two Interactive,2010 Action by Take-Two Interactive rank 1196
1183,1197,Dishonored,PS3,2012,Action,Bethesda Softworks,2012 Action by Bethesda Softworks rank 1197
1184,1198,Stuntman,PS2,2002,Racing,Atari,2002 Racing by Atari rank 1198
1185,1199,Tom Clancy's Rainbow Six 3,XB,2003,Shooter,Ubisoft,2003 Shooter by Ubisoft rank 1199
1186,1200,Active Life: Outdoor Challenge,Wii,2008,Sports,Atari,2008 Sports by Atari rank 1200
1187,1201,BioShock 2,PS3,2010,Shooter,Take-Two Interactive,2010 Shooter by Take-Two Interactive rank 1201
1188,1202,007: The World is not Enough,N64,2000,Action,Electronic Arts,2000 Action by Electronic Arts rank 1202
1189,1203,Spider-Man 2: Enter: Electro,PS,2001,Action,Activision,2001 Action by Activision rank 1203
1190,1204,Watch Dogs,XOne,2014,Action,Ubisoft,2014 Action by Ubisoft rank 1204
1191,1205,Star Wars: The Force Unleashed II,PS3,2010,Action,LucasArts,2010 Action by LucasArts rank 1205
1192,1206,Ni no Kuni: Wrath of the White Witch,PS3,2011,Role-Playing,Namco Bandai Games,2011 Role-Playing by Namco Bandai Games rank 1206
1193,1207,Command & Conquer: Tiberian Sun,PC,1999,Strategy,Westwood Studios,1999 Strategy by Westwood Studios rank 1207
1194,1208,LEGO Battles: Ninjago,DS,2011,Strategy,Warner Bros. Interactive Entertainment,2011 Strategy by Warner Bros. Interactive Entertainment rank 1208
1195,1209,Mario Party 10,WiiU,2015,Misc,Nintendo,2015 Misc by Nintendo rank 1209
1196,1210,Dead Rising 3,XOne,2013,Action,Microsoft Game Studios,2013 Action by Microsoft Game Studios rank 1210
1197,1211,Resident Evil: The Umbrella Chronicles,Wii,2007,Action,Capcom,2007 Action by Capcom rank 1211
1198,1212,Fire Emblem Fates,3DS,2015,Role-Playing,Nintendo,2015 Role-Playing by Nintendo rank 1212
1199,1213,Dark Cloud,PS2,2000,Role-Playing,Sony Computer Entertainment,2000 Role-Playing by Sony Computer Entertainment rank 1213
1200,1214,Warcraft III: The Frozen Throne,PC,2003,Strategy,Activision,2003 Strategy by Activision rank 1214
1201,1215,Tom Clancy's Ghost Recon Advanced Warfighter,X360,2006,Shooter,Ubisoft,2006 Shooter by Ubisoft rank 1215
1202,1216,Disney Fairies: Tinker Bell,DS,2008,Adventure,Disney Interactive Studios,2008 Adventure by Disney Interactive Studios rank 1216
1203,1217,MVP Baseball 2005,PS2,2005,Sports,Electronic Arts,2005 Sports by Electronic Arts rank 1217
1204,1218,Die Hard Trilogy,PS,1996,Shooter,Fox Interactive,1996 Shooter by Fox Interactive rank 1218
1205,1219,Call of Duty: Black Ops II,PC,2012,Shooter,Activision,2012 Shooter by Activision rank 1219
1206,1220,Fight Night Round 4,PS3,2009,Fighting,Electronic Arts,2009 Fighting by Electronic Arts rank 1220
1207,1221,MySims Kingdom,Wii,2008,Simulation,Electronic Arts,2008 Simulation by Electronic Arts rank 1221
1208,1222,The Simpsons Game,DS,2007,Action,Electronic Arts,2007 Action by Electronic Arts rank 1222
1209,1223,Mortal Kombat 3,SNES,1994,Fighting,Acclaim Entertainment,1994 Fighting by Acclaim Entertainment rank 1223
1210,1224,NFL GameDay 99,PS,1998,Sports,989 Studios,1998 Sports by 989 Studios rank 1224
1211,1225,Call of Duty: Modern Warfare: Reflex Edition,Wii,2009,Shooter,Activision,2009 Shooter by Activision rank 1225
1212,1226,FIFA 17,XOne,2016,Sports,Electronic Arts,2016 Sports by Electronic Arts rank 1226
1213,1227,Mario Golf: Toadstool Tour,GC,2003,Sports,Nintendo,2003 Sports by Nintendo rank 1227
1214,1228,Tiger Woods 99 PGA Tour Golf,PS,1997,Sports,Electronic Arts,1997 Sports by Electronic Arts rank 1228
1215,1229,Donkey Kong Country: Tropical Freeze,WiiU,2014,Platform,Nintendo,2014 Platform by Nintendo rank 1229
1216,1230,Dead Space 2,X360,2011,Shooter,Electronic Arts,2011 Shooter by Electronic Arts rank 1230
1217,1231,Sonic Rivals 2,PSP,2007,Racing,Sega,2007 Racing by Sega rank 1231
1218,1232,Knockout Kings,PS,1997,Fighting,Electronic Arts,1997 Fighting by Electronic Arts rank 1232
1219,1233,The Simpsons Skateboarding,PS2,2002,Sports,Electronic Arts,2002 Sports by Electronic Arts rank 1233
1220,1234,NASCAR 98,PS,1996,Racing,Electronic Arts,1996 Racing by Electronic Arts rank 1234
1221,1235,F1 Race,NES,1984,Racing,Nintendo,1984 Racing by Nintendo rank 1235
1222,1236,Xevious,NES,1984,Shooter,Namco Bandai Games,1984 Shooter by Namco Bandai Games rank 1236
1223,1237,NASCAR 99,PS,1998,Racing,Electronic Arts,1998 Racing by Electronic Arts rank 1237
1224,1238,NBA Live 2000,PS,1998,Sports,Electronic Arts,1998 Sports by Electronic Arts rank 1238
1225,1239,Mafia II,PS3,2010,Action,Take-Two Interactive,2010 Action by Take-Two Interactive rank 1239
1226,1240,Call of Duty 3,PS3,2006,Shooter,Activision,2006 Shooter by Activision rank 1240
1227,1241,Super Monkey Ball 2,GC,2002,Puzzle,Atari,2002 Puzzle by Atari rank 1241
1228,1242,Pac-Man World 2,PS2,2002,Action,Namco Bandai Games,2002 Action by Namco Bandai Games rank 1242
1229,1243,Madden NFL 15,XOne,2014,Sports,Electronic Arts,2014 Sports by Electronic Arts rank 1243
1230,1244,Sonic & Sega All-Stars Racing,Wii,2010,Racing,Sega,2010 Racing by Sega rank 1244
1231,1245,LEGO Star Wars III: The Clone Wars,X360,2011,Action,LucasArts,2011 Action by LucasArts rank 1245
1232,1246,Football Manager 2012,PC,2011,Sports,Sega,2011 Sports by Sega rank 1246
1233,1247,Puzzle & Dragons,3DS,2013,Role-Playing,GungHo,2013 Role-Playing by GungHo rank 1247
1234,1248,Mega Man 2,NES,1988,Action,Capcom,1988 Action by Capcom rank 1248
1235,1249,Simpsons Wrestling,PS,2001,Fighting,Electronic Arts,2001 Fighting by Electronic Arts rank 1249
1236,1250,NBA Live 98,PS,1997,Sports,Electronic Arts,1997 Sports by Electronic Arts rank 1250
1237,1251,The Simpsons Game,PS2,2007,Action,Electronic Arts,2007 Action by Electronic Arts rank 1251
1238,1252,Monopoly,PS,1997,Misc,Hasbro Interactive,1997 Misc by Hasbro Interactive rank 1252
1239,1253,SoulCalibur II,GC,2003,Fighting,Namco Bandai Games,2003 Fighting by Namco Bandai Games rank 1253
1240,1254,Resistance 3,PS3,2011,Shooter,Sony Computer Entertainment,2011 Shooter by Sony Computer Entertainment rank 1254
1241,1255,Tokyo Xtreme Racer Zero,PS2,2000,Racing,Crave Entertainment,2000 Racing by Crave Entertainment rank 1255
1242,1256,Final Fantasy XIV: A Realm Reborn,PC,2010,Role-Playing,Square Enix,2010 Role-Playing by Square Enix rank 1256
1243,1257,NFL Blitz,PS,1998,Sports,Midway Games,1998 Sports by Midway Games rank 1257
1244,1258,Red Faction II,PS2,2002,Shooter,THQ,2002 Shooter by THQ rank 1258
1245,1259,Super Scribblenauts,DS,2010,Puzzle,Warner Bros. Interactive Entertainment,2010 Puzzle by Warner Bros. Interactive Entertainment rank 1259
1246,1260,Madden NFL 2001,PS2,2000,Sports,Electronic Arts,2000 Sports by Electronic Arts rank 1260
1247,1261,WWF No Mercy,N64,2000,Fighting,THQ,2000 Fighting by THQ rank 1261
1248,1262,Ice Climber,NES,1985,Platform,Nintendo,1985 Platform by Nintendo rank 1262
1249,1263,Sonic CD,SCD,1993,Platform,Sega,1993 Platform by Sega rank 1263
1250,1264,Ninja Hattori Kun: Ninja wa Shuugyou Degogiru no Maki,NES,1986,Platform,Hudson Soft,1986 Platform by Hudson Soft rank 1264
1251,1265,Dead Rising 2,X360,2010,Action,Capcom,2010 Action by Capcom rank 1265
1252,1266,Rock Band 2,PS3,2008,Misc,MTV Games,2008 Misc by MTV Games rank 1266
1253,1267,Pac-Man World,PS,1998,Action,Namco Bandai Games,1998 Action by Namco Bandai Games rank 1267
1254,1268,Disney Sing It: Pop Hits,Wii,2009,Misc,Disney Interactive Studios,2009 Misc by Disney Interactive Studios rank 1268
1255,1269,Final Fantasy: Crystal Chronicles,GC,2003,Role-Playing,Nintendo,2003 Role-Playing by Nintendo rank 1269
1256,1270,Medal of Honor: Frontline,XB,2002,Shooter,Electronic Arts,2002 Shooter by Electronic Arts rank 1270
1257,1271,Madden NFL 09,PS2,2008,Sports,Electronic Arts,2008 Sports by Electronic Arts rank 1271
1258,1272,Drawn To Life: SpongeBob SquarePants Edition,DS,2008,Adventure,THQ,2008 Adventure by THQ rank 1272
1259,1273,Banjo-Tooie,N64,2000,Platform,Nintendo,2000 Platform by Nintendo rank 1273
1260,1274,Buzz! The BIG Quiz,PS2,2006,Misc,Sony Computer Entertainment,2006 Misc by Sony Computer Entertainment rank 1274
1261,1275,007: Quantum of Solace,X360,2008,Action,Activision,2008 Action by Activision rank 1275
1262,1276,The Sims 3,Wii,2010,Simulation,Electronic Arts,2010 Simulation by Electronic Arts rank 1276
1263,1277,New Play Control! Mario Power Tennis,Wii,2009,Sports,Nintendo,2009 Sports by Nintendo rank 1277
1264,1278,Bratz: Forever Diamondz,DS,2006,Adventure,THQ,2006 Adventure by THQ rank 1278
1265,1279,Dirge of Cerberus: Final Fantasy VII,PS2,2006,Shooter,Square Enix,2006 Shooter by Square Enix rank 1279
1266,1280,Nintendo World Cup,NES,1990,Sports,Nintendo,1990 Sports by Nintendo rank 1280
1267,1281,WWF WrestleMania 2000,N64,1999,Fighting,THQ,1999 Fighting by THQ rank 1281
1268,1282,Wario Land II,GB,1997,Platform,Nintendo,1997 Platform by Nintendo rank 1282
1269,1283,Mass Effect 2,PS3,2011,Role-Playing,Electronic Arts,2011 Role-Playing by Electronic Arts rank 1283
1270,1284,Major League Baseball 2K5,PS2,2005,Sports,Take-Two Interactive,2005 Sports by Take-Two Interactive rank 1284
1271,1285,Fight Night 2004,PS2,2004,Fighting,Electronic Arts,2004 Fighting by Electronic Arts rank 1285
1272,1286,Tom Clancy's Splinter Cell: Pandora Tomorrow,XB,2004,Action,Ubisoft,2004 Action by Ubisoft rank 1286
1273,1287,Imagine: Master Chef,DS,2007,Simulation,Ubisoft,2007 Simulation by Ubisoft rank 1287
1274,1288,Assassin's Creed III: Liberation,PSV,2012,Action,Ubisoft,2012 Action by Ubisoft rank 1288
1275,1289,SoulCalibur IV,PS3,2008,Fighting,Ubisoft,2008 Fighting by Ubisoft rank 1289
1276,1290,Mario Golf,N64,1999,Action,Nintendo,1999 Action by Nintendo rank 1290
1277,1291,Disney Princess,GBA,2003,Platform,THQ,2003 Platform by THQ rank 1291
1278,1292,Fight Night Round 3,X360,2006,Fighting,Electronic Arts,2006 Fighting by Electronic Arts rank 1292
1279,1293,Metal Gear Rising: Revengeance,PS3,2013,Action,Konami Digital Entertainment,2013 Action by Konami Digital Entertainment rank 1293
1280,1294,Chrono Trigger,DS,2008,Role-Playing,Square Enix,2008 Role-Playing by Square Enix rank 1294
1281,1295,Star Wars: The Force Unleashed II,X360,2010,Action,LucasArts,2010 Action by LucasArts rank 1295
1282,1296,The House of the Dead 2 & 3 Return,Wii,2008,Shooter,Sega,2008 Shooter by Sega rank 1296
1283,1297,Disney Princess: Magical Jewels,DS,2007,Adventure,Disney Interactive Studios,2007 Adventure by Disney Interactive Studios rank 1297
1284,1298,LittleBigPlanet PS Vita,PSV,2012,Platform,Sony Computer Entertainment,2012 Platform by Sony Computer Entertainment rank 1298
1285,1299,Xenogears,PS,1998,Role-Playing,SquareSoft,1998 Role-Playing by SquareSoft rank 1299
1286,1300,The SpongeBob SquarePants Movie,GBA,2004,Platform,THQ,2004 Platform by THQ rank 1300
1287,1301,Tom Clancy's Ghost Recon: Future Soldier,X360,2012,Shooter,Ubisoft,2012 Shooter by Ubisoft rank 1301
1288,1302,Battlefield: Bad Company,X360,2008,Shooter,Electronic Arts,2008 Shooter by Electronic Arts rank 1302
1289,1303,Midway Arcade Treasures,PS2,2003,Misc,Midway Games,2003 Misc by Midway Games rank 1303
1290,1304,Wall-E,DS,2008,Platform,THQ,2008 Platform by THQ rank 1304
1291,1306,Homefront,X360,2011,Shooter,THQ,2011 Shooter by THQ rank 1306
1292,1307,Super Monkey Ball,GC,2001,Puzzle,Atari,2001 Puzzle by Atari rank 1307
1293,1308,Donkey Kong,2600,1981,Platform,Coleco,1981 Platform by Coleco rank 1308
1294,1309,Mortal Kombat 4,PS,1998,Fighting,GT Interactive,1998 Fighting by GT Interactive rank 1309
1295,1310,Mario Superstar Baseball,GC,2005,Sports,Nintendo,2005 Sports by Nintendo rank 1310
1296,1311,Mass Effect 3,PS3,2012,Role-Playing,Electronic Arts,2012 Role-Playing by Electronic Arts rank 1311
1297,1312,LEGO Batman 2: DC Super Heroes,Wii,2012,Action,Warner Bros. Interactive Entertainment,2012 Action by Warner Bros. Interactive Entertainment rank 1312
1298,1313,Medal of Honor: Warfighter,PS3,2012,Action,Electronic Arts,2012 Action by Electronic Arts rank 1313
1299,1314,WCW vs the World,PS,1998,Fighting,THQ,1998 Fighting by THQ rank 1314
1300,1315,SNK vs. Capcom: The Match of the Millennium,PSP,2006,Fighting,Sega,2006 Fighting by Sega rank 1315
1301,1316,LEGO City Undercover,3DS,2013,Platform,Nintendo,2013 Platform by Nintendo rank 1316
1302,1317,Onimusha 3: Demon Siege,PS2,2004,Action,Capcom,2004 Action by Capcom rank 1317
1303,1318,Diablo III,X360,2013,Role-Playing,Activision,2013 Role-Playing by Activision rank 1318
1304,1319,Batman: Arkham Knight,XOne,2015,Action,Warner Bros. Interactive Entertainment,2015 Action by Warner Bros. Interactive Entertainment rank 1319
1305,1320,BioShock,PS3,2008,Shooter,Take-Two Interactive,2008 Shooter by Take-Two Interactive rank 1320
1306,1321,Red Dead Revolver,PS2,2004,Shooter,Take-Two Interactive,2004 Shooter by Take-Two Interactive rank 1321
1307,1322,Anno 2070,PC,2011,Strategy,Ubisoft,2011 Strategy by Ubisoft rank 1322
1308,1323,Resident Evil: Outbreak,PS2,2003,Action,Capcom,2003 Action by Capcom rank 1323
1309,1324,Smarty Pants,Wii,2007,Misc,Electronic Arts,2007 Misc by Electronic Arts rank 1324
1310,1325,Tamagotchi,GB,1996,Simulation,Namco Bandai Games,1996 Simulation by Namco Bandai Games rank 1325
1311,1326,4 Nin uchi Mahjong,NES,1984,Misc,Nintendo,1984 Misc by Nintendo rank 1326
1312,1327,Dragon Ball Z,SNES,1993,Fighting,Namco Bandai Games,1993 Fighting by Namco Bandai Games rank 1327
1313,1328,Game de Hakken!! Tamagotchi 2,GB,1997,Simulation,Namco Bandai Games,1997 Simulation by Namco Bandai Games rank 1328
1314,1329,Namco Museum 64,N64,1999,Misc,Namco Bandai Games,1999 Misc by Namco Bandai Games rank 1329
1315,1330,Hasbro Family Game Night,Wii,2008,Puzzle,Electronic Arts,2008 Puzzle by Electronic Arts rank 1330
1316,1331,Dragon Quest Monsters: Joker 2,DS,2010,Role-Playing,Square Enix,2010 Role-Playing by Square Enix rank 1331
1317,1332,Tony Hawk's American Wasteland (Weekly american sales),PS2,2005,Sports,Activision,2005 Sports by Activision rank 1332
1318,1333,My Word Coach,DS,2007,Misc,Ubisoft,2007 Misc by Ubisoft rank 1333
1319,1334,Hello Kitty Party,DS,2007,Misc,Rising Star Games,2007 Misc by Rising Star Games rank 1334
1320,1335,SingStar Pop,PS2,2007,Misc,Sony Computer Entertainment,2007 Misc by Sony Computer Entertainment rank 1335
1321,1336,Sonic Rivals,PSP,2006,Racing,Sega,2006 Racing by Sega rank 1336
1322,1337,SimCity (2013),PC,2013,Simulation,Electronic Arts,2013 Simulation by Electronic Arts rank 1337
1323,1338,Kirby Super Star,SNES,1996,Platform,Nintendo,1996 Platform by Nintendo rank 1338
1324,1339,Far Cry 4,PS3,2014,Shooter,Ubisoft,2014 Shooter by Ubisoft rank 1339
1325,1340,WWE SmackDown vs Raw 2008,X360,2007,Fighting,THQ,2007 Fighting by THQ rank 1340
1326,1341,Kinect Joy Ride,X360,2010,Racing,Microsoft Game Studios,2010 Racing by Microsoft Game Studios rank 1341
1327,1342,Rayman Raving Rabbids,Wii,2006,Misc,Ubisoft,2006 Misc by Ubisoft rank 1342
1328,1343,Need for Speed Rivals,PS3,2013,Racing,Electronic Arts,2013 Racing by Electronic Arts rank 1343
1329,1344,Tiger Woods PGA Tour 2005,PS2,2004,Sports,Electronic Arts,2004 Sports by Electronic Arts rank 1344
1330,1345,Dead Space 2,PS3,2011,Shooter,Electronic Arts,2011 Shooter by Electronic Arts rank 1345
1331,1346,NCAA Football 2003,PS2,2002,Sports,Electronic Arts,2002 Sports by Electronic Arts rank 1346
1332,1347,Frogger 2: Swampy's Revenge,PS,1999,Action,Hasbro Interactive,1999 Action by Hasbro Interactive rank 1347
1333,1348,Disney Infinity,X360,2013,Action,Disney Interactive Studios,2013 Action by Disney Interactive Studios rank 1348
1334,1349,LEGO Indiana Jones 2: The Adventure Continues,Wii,2009,Action,Activision,2009 Action by Activision rank 1349
1335,1350,Sonic's Ultimate Genesis Collection,X360,2009,Misc,Sega,2009 Misc by Sega rank 1350
1336,1351,Tiger Woods PGA Tour 09 All-Play,Wii,2008,Sports,Electronic Arts,2008 Sports by Electronic Arts rank 1351
1337,1352,Disney's DuckTales,GB,1988,Platform,Capcom,1988 Platform by Capcom rank 1352
1338,1353,Classic NES Series: Super Mario Bros.,GBA,2004,Platform,Nintendo,2004 Platform by Nintendo rank 1353
1339,1354,Triple Play 2000,PS,1999,Sports,Electronic Arts,1999 Sports by Electronic Arts rank 1354
1340,1355,Dragon Quest VII: Warriors of Eden,3DS,2013,Role-Playing,Square Enix,2013 Role-Playing by Square Enix rank 1355
1341,1356,Cabela's Big Game Hunter,PS2,2002,Sports,Activision,2002 Sports by Activision rank 1356
1342,1357,UFC Undisputed 2010,PS3,2010,Fighting,THQ,2010 Fighting by THQ rank 1357
1343,1358,NBA Live 06 (Weekly american sales),PS2,2005,Sports,Electronic Arts,2005 Sports by Electronic Arts rank 1358
1344,1359,The Legend of Zelda: The Minish Cap,GBA,2004,Action,Nintendo,2004 Action by Nintendo rank 1359
1345,1360,NFL Street,PS2,2004,Sports,Electronic Arts,2004 Sports by Electronic Arts rank 1360
1346,1361,Sonic Generations,X360,2011,Platform,Sega,2011 Platform by Sega rank 1361
1347,1362,Super Metroid,SNES,1994,Action,Nintendo,1994 Action by Nintendo rank 1362
1348,1363,Pro Yakyuu Family Stadium '87,NES,1987,Sports,Namco Bandai Games,1987 Sports by Namco Bandai Games rank 1363
1349,1364,Dead Space,X360,2008,Action,Electronic Arts,2008 Action by Electronic Arts rank 1364
1350,1365,Resident Evil (Remake),GC,2002,Action,Capcom,2002 Action by Capcom rank 1365
1351,1366,Inazuma Eleven 2,DS,2009,Role-Playing,Nintendo,2009 Role-Playing by Nintendo rank 1366
1352,1367,Tomb Raider (2013),PS4,2014,Action,Square Enix,2014 Action by Square Enix rank 1367
1353,1368,LEGO Star Wars II: The Original Trilogy,PSP,2006,Action,LucasArts,2006 Action by LucasArts rank 1368
1354,1369,Toy Story 3: The Video Game,Wii,2010,Action,Disney Interactive Studios,2010 Action by Disney Interactive Studios rank 1369
1355,1370,Fight Night Round 4,X360,2009,Fighting,Electronic Arts,2009 Fighting by Electronic Arts rank 1370
1356,1371,LEGO Star Wars: The Video Game,GC,2005,Action,Eidos Interactive,2005 Action by Eidos Interactive rank 1371
1357,1372,Injustice: Gods Among Us,X360,2013,Fighting,Warner Bros. Interactive Entertainment,2013 Fighting by Warner Bros. Interactive Entertainment rank 1372
1358,1373,Madden NFL 15,PS3,2014,Sports,Electronic Arts,2014 Sports by Electronic Arts rank 1373
1359,1374,Disney's The Lion King,GEN,1994,Platform,Virgin Interactive,1994 Platform by Virgin Interactive rank 1374
1360,1375,Ridge Racer,PSP,2004,Racing,Sony Computer Entertainment,2004 Racing by Sony Computer Entertainment rank 1375
1361,1376,Metroid: Other M,Wii,2010,Action,Nintendo,2010 Action by Nintendo rank 1376
1362,1377,Knockout Kings 2000,PS,1999,Fighting,Electronic Arts,1999 Fighting by Electronic Arts rank 1377
1363,1378,Gran Turismo 4 Prologue,PS2,2003,Racing,Sony Computer Entertainment,2003 Racing by Sony Computer Entertainment rank 1378
1364,1379,Twisted Metal: Black,PS2,2001,Racing,Sony Computer Entertainment,2001 Racing by Sony Computer Entertainment rank 1379
1365,1380,NASCAR 2005: Chase for the Cup,PS2,2004,Racing,Electronic Arts,2004 Racing by Electronic Arts rank 1380
1366,1381,Call of Duty: Black Ops,Wii,2010,Shooter,Activision,2010 Shooter by Activision rank 1381
1367,1382,Spider-Man: The Movie,XB,2002,Action,Activision,2002 Action by Activision rank 1382
1368,1383,Need For Speed: Undercover,PS2,2008,Racing,Electronic Arts,2008 Racing by Electronic Arts rank 1383
1369,1384,2Xtreme,PS,1996,Sports,Sony Computer Entertainment,1996 Sports by Sony Computer Entertainment rank 1384
1370,1385,Far Cry 2,PS3,2008,Action,Ubisoft,2008 Action by Ubisoft rank 1385
1371,1386,Sonic Advance 3,GBA,2004,Platform,THQ,2004 Platform by THQ rank 1386
1372,1387,Final Fantasy III,NES,1990,Role-Playing,SquareSoft,1990 Role-Playing by SquareSoft rank 1387
1373,1388,Battlefield 4,PC,2013,Shooter,Electronic Arts,2013 Shooter by Electronic Arts rank 1388
1374,1389,Colin McRae Rally 3,PS2,2002,Racing,Codemasters,2002 Racing by Codemasters rank 1389
1375,1390,Madden NFL 2002,PS,2001,Sports,Electronic Arts,2001 Sports by Electronic Arts rank 1390
1376,1391,Doom (2016),PS4,2016,Shooter,Bethesda Softworks,2016 Shooter by Bethesda Softworks rank 1391
1377,1392,Final Fantasy XII: Revenant Wings,DS,2007,Role-Playing,Square Enix,2007 Role-Playing by Square Enix rank 1392
1378,1393,Bakugan: Battle Brawlers,DS,2009,Action,Activision,2009 Action by Activision rank 1393
1379,1394,Deus Ex: Human Revolution,PS3,2011,Shooter,Square Enix,2011 Shooter by Square Enix rank 1394
